id,category,page,prompt,law_basis,note
traffic_law_choice-094,traffic_law_choice,8,未領有汽車駕照駕駛小型車者應處罰鍰新臺幣,道路交通管理處罰條例第21條,無照、越級、吊扣期間或容許無照駕駛之處罰
traffic_law_choice-095,traffic_law_choice,8,臨時停車停止時間,道路交通安全規則第111條,臨時停車地點與方式
traffic_law_choice-100,traffic_law_choice,8,貨車裝載貨物寬度,道路交通安全規則第77條,裝載貨物之長寬高及乘載規定
traffic_law_choice-101,traffic_law_choice,8,汽車裝載危險物品停車時，應停於,道路交通安全規則第84條,危險物品裝載及警示規定
traffic_law_choice-102,traffic_law_choice,8,裝載危險物品車輛，發現外洩或滲漏時應即,道路交通安全規則第84條,危險物品裝載及警示規定
traffic_law_choice-103,traffic_law_choice,8,汽車駕駛人駕車，違反道路交通安全規則，因而肇事致人死亡者,道路交通事故處理辦法第3條,事故現場警示、救護、標繪與移置規則
traffic_law_choice-104,traffic_law_choice,8,汽車駕駛人駕駛汽車肇事，雖無人受傷或死亡，卻未依規定處置且逃逸者，除處罰鍰外，並,道路交通事故處理辦法第3條；道路交通管理處罰條例第62條,事故現場警示、救護、標繪與移置規則；無人傷亡事故未依規定處置或未標繪移置之處罰
traffic_law_choice-105,traffic_law_choice,8,汽車行駛至交岔路口，其設有劃分島，劃分快慢車道者，在慢車道上行駛之車輛,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-106,traffic_law_choice,9,對向行駛之左右轉彎車輛，已轉彎須進入同一車道時應讓,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-107,traffic_law_choice,9,駕駛人不在未劃分標線道路之中央右側駕車者，應處,道路交通安全規則第95條,未劃設分向設施道路應靠右行駛
traffic_law_choice-109,traffic_law_choice,9,汽車行至號誌故障而無交通指揮人員指揮之交岔路口,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-110,traffic_law_choice,9,汽車行駛至交岔路口，其行進轉彎，遇有交通指揮人員指揮與燈光號誌並用時，以,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-111,traffic_law_choice,9,消防栓、消防車出入口，多少距離以內不得臨時停車,道路交通安全規則第111條,臨時停車地點與方式
traffic_law_choice-115,traffic_law_choice,9,汽車駛至鐵路平交道前，如前面有車輛時，應俟前車駛離鐵路平交道多少公尺始得通過,道路交通安全規則第104條,平交道通過規則
traffic_law_choice-116,traffic_law_choice,9,以下何種車輛應在車後方加漆牌照號碼,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-117,traffic_law_choice,9,行車中，駕駛人看到鐵路平交道標誌或標線後，應即將車速減低至時速,道路交通安全規則第104條,平交道通過規則
traffic_law_choice-118,traffic_law_choice,9,汽車在同向二車道以上道路，速度較慢之小型汽車，應行駛,道路交通安全規則第98條,同向多車道路段車道使用規則
traffic_law_choice-119,traffic_law_choice,9,汽車行駛至交岔路口，右轉彎時，應先,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-122,traffic_law_choice,10,裝載超長、超寬、超高及超重整體物品應,道路交通安全規則第77條,裝載貨物之長寬高及乘載規定
traffic_law_choice-124,traffic_law_choice,10,行車前，應對方向盤、煞車等機件,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-125,traffic_law_choice,10,隨車工具，應,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-126,traffic_law_choice,10,汽車起駛前，應,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-128,traffic_law_choice,10,汽車向右轉彎時,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-137,traffic_law_choice,11,汽車在峻狹坡道路會車時，應該,道路交通安全規則第100條,會車、山路、峻狹坡、夜間會車規則
traffic_law_choice-138,traffic_law_choice,11,在未劃有分向標線之道路，或鐵路平交道，或不良道路會車時，應該,道路交通安全規則第104條,平交道通過規則
traffic_law_choice-140,traffic_law_choice,11,領有臨時牌照之車輛,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-141,traffic_law_choice,11,前行車駕駛人聞後行車超車之喇叭聲，如車前路況無障礙時,道路交通安全規則第101條,超車規則與禁止超車路段
traffic_law_choice-143,traffic_law_choice,11,在內側車道行駛之車輛，欲在交岔路口左轉彎時，應該,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-144,traffic_law_choice,11,汽車行近行人穿越道前，應該,道路交通安全規則第103條,行近行人穿越道應暫停讓行人
traffic_law_choice-145,traffic_law_choice,11,鐵路平交道遮斷器未放下，或看守人員未表示停止時，應該,道路交通安全規則第104條,平交道通過規則
traffic_law_choice-148,traffic_law_choice,11,汽車會車時，相互之間隔，不得少於,道路交通安全規則第100條,會車、山路、峻狹坡、夜間會車規則
traffic_law_choice-150,traffic_law_choice,11,在設有彎道、坡路、狹橋、隧道標誌路段或鐵路平交道處,道路交通安全規則第104條；道路交通管理處罰條例第54條,平交道通過規則；平交道違規之處罰
traffic_law_choice-152,traffic_law_choice,12,汽車迴車前應,道路交通安全規則第106條,迴車之禁止地點與程序
traffic_law_choice-153,traffic_law_choice,12,汽車停車時應,道路交通安全規則第112條,停車地點與方式
traffic_law_choice-154,traffic_law_choice,12,報廢之車輛,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-159,traffic_law_choice,12,應考聯結車駕照者，其經歷須,道路交通安全規則第60條,考領各級駕照之資格與年齡
traffic_law_choice-160,traffic_law_choice,12,領有大貨車駕駛執照可駕駛,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-161,traffic_law_choice,12,兒童乘坐小客車時，應坐於,道路交通管理處罰條例第31條,未繫安全帶、兒童乘坐安全及留置車內之處罰
traffic_law_choice-163,traffic_law_choice,12,裝載危險物品之車輛，在橋樑、隧道、火場多少公尺範圍內，嚴禁停車,道路交通安全規則第84條,危險物品裝載及警示規定
traffic_law_choice-164,traffic_law_choice,12,交岔路口、公共汽車招呼站多少公尺內不得臨時停車,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-165,traffic_law_choice,12,使用偽造、變造、或矇領之牌照者，應處,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-166,traffic_law_choice,12,汽車駕駛人有下列情形之一者，應施以道路交通安全講習,道路交通管理處罰條例第24條,道路交通安全講習制度
traffic_law_choice-167,traffic_law_choice,13,汽車所有人已領有號牌而不懸掛或不依指定位置懸掛者，應處罰,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-168,traffic_law_choice,13,領有汽車駕照，駕駛重型機車者,道路交通管理處罰條例第21條,無照、越級、吊扣期間或容許無照駕駛之處罰
traffic_law_choice-169,traffic_law_choice,13,汽車駕駛人、前座或小型車後座乘客未繫安全帶行駛於下列何種道路會受罰鍰之處罰,道路交通安全規則第89條；道路交通管理處罰條例第31條,安全帶與起駛前安全檢查；未繫安全帶、兒童乘坐安全及留置車內之處罰
traffic_law_choice-170,traffic_law_choice,13,汽機車駕駛人酒後駕車，其吐氣酒精濃度超過規定標準但未涉刑事處罰者，應處,道路交通管理處罰條例第35條,酒駕、拒測與毒駕之處罰
traffic_law_choice-172,traffic_law_choice,13,汽車駕駛人，行車速度超過規定之最高時速40 公里以上者，處罰鍰新臺幣,道路交通管理處罰條例第43條,危險駕駛、競駛、超速40公里以上或噪音車之處罰
traffic_law_choice-175,traffic_law_choice,13,酒醉駕車或行經行人穿越道不讓行人優先通行因而致人傷亡，如應負刑責者,道路交通安全規則第103條,行近行人穿越道應暫停讓行人
traffic_law_choice-179,traffic_law_choice,13,領有牌照之自用小客車，除使用液化石油氣及壓縮天然氣為燃料者外，檢驗次數應為,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-180,traffic_law_choice,14,汽車行駛於非高、快速公路之一般道路上，其駕駛人、前座或小型車後座乘客未繫安全帶者，應處駕駛人罰鍰新臺幣,道路交通安全規則第89條；道路交通管理處罰條例第31條,安全帶與起駛前安全檢查；未繫安全帶、兒童乘坐安全及留置車內之處罰
traffic_law_choice-181,traffic_law_choice,14,汽車駕駛人於行駛道路時，以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為者，處罰鍰新臺幣,道路交通安全規則第90條；道路交通管理處罰條例第31-1條,駕駛中不得手持通訊裝置；手持通訊裝置之處罰
traffic_law_choice-182,traffic_law_choice,14,駕車酒精濃度超過規定標準，除當場移置保管該汽機車及吊扣其駕駛 執照1 至2 年，並處罰鍰新臺幣,道路交通管理處罰條例第35條,酒駕、拒測與毒駕之處罰
traffic_law_choice-183,traffic_law_choice,14,"酒精濃度超過規定標準駕車之違規人，於10 年內第2 次違反酒後駕車之規定，除處罰鍰新臺幣120,000 元，及當場移置保管該汽車，並應施以道路交通安全講習",道路交通管理處罰條例第24條,道路交通安全講習制度
traffic_law_choice-184,traffic_law_choice,14,"兩輛以上之汽車在道路上競駛或競技者，除處罰汽車駕駛人新台幣30,000~90,000 元罰鍰，及當場禁止其駕駛，並應",道路交通管理處罰條例第43條,危險駕駛、競駛、超速40公里以上或噪音車之處罰
traffic_law_choice-185,traffic_law_choice,14,"汽車駕駛人若拒絕接受酒精濃度測試檢定者，除處罰鍰新臺幣180,000 元，並應施以道路交通安全講習",道路交通管理處罰條例第24條,道路交通安全講習制度
traffic_law_choice-186,traffic_law_choice,14,8 公噸以上汽車未依規定裝設行車紀錄器及行車視野輔助系統者，處汽車所有人,道路交通安全規則第23條；道路交通安全規則第24條,車輛異動登記項目；車籍、所有人或地址等變更登記
traffic_law_choice-187,traffic_law_choice,14,"小型車駕駛執照吊扣期間駕駛小型車者，除處新臺幣6,000～24,000 元罰鍰，並當場禁止其駕駛外，並應",道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-190,traffic_law_choice,14,汽車所有人，明知駕駛人有酒後駕車之情形，而不予禁止者，除處罰鍰外，並應,道路交通安全規則第23條；道路交通安全規則第24條；道路交通管理處罰條例第16條,車輛異動登記項目；車籍、所有人或地址等變更登記；未依規定辦理變更登記之處罰
traffic_law_choice-191,traffic_law_choice,14,牌照借供他車使用或使用他車牌照行駛者，除罰鍰外，並應,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-192,traffic_law_choice,15,汽車駕駛人行駛高速公路、快速公路而不遵守管制規定之處罰,道路交通管理處罰條例第33條,高速或快速公路違反管制規定之處罰
traffic_law_choice-193,traffic_law_choice,15,汽車駕駛人超速駕車者應處以,道路交通安全規則第93條；道路交通管理處罰條例第40條,一般道路速限規則；一般超速或低於最低速限之處罰
traffic_law_choice-194,traffic_law_choice,15,汽車駕駛人行經有燈光號誌管制之交岔路口闖紅燈者,道路交通安全規則第102條；道路交通管理處罰條例第53條,交岔路口轉彎、號誌、指揮與讓車規則；闖紅燈與紅燈右轉之處罰
traffic_law_choice-195,traffic_law_choice,15,在鐵路平交道超車、迴車、倒車或停車者，應處以,道路交通安全規則第101條,超車規則與禁止超車路段
traffic_law_choice-196,traffic_law_choice,15,貨車雖未超載但超過所行駛橋樑之載重限制者，應處以罰鍰並記,道路交通安全規則第77條；道路交通管理處罰條例第29條,裝載貨物之長寬高及乘載規定；超限裝載、超重或未依規定過磅之處罰
traffic_law_choice-197,traffic_law_choice,15,強行闖越鐵路平交道之處罰是,道路交通安全規則第104條；道路交通管理處罰條例第54條,平交道通過規則；平交道違規之處罰
traffic_law_choice-198,traffic_law_choice,15,汽車駕駛人因違規記點，2 年內經吊扣駕駛執照2 次，再違反記點規定者，處以,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-199,traffic_law_choice,15,汽車不依規定裝載危險物品者，除罰鍰外並,道路交通安全規則第84條；道路交通管理處罰條例第29條,危險物品裝載及警示規定；危險物品裝載違規之處罰
traffic_law_choice-201,traffic_law_choice,15,駕駛裝載危險物品車輛之駕駛員,道路交通安全規則第84條,危險物品裝載及警示規定
traffic_law_choice-205,traffic_law_choice,15,汽車所有人或汽車駕駛人接獲違反道路交通管理事件通知單後，於,道路交通安全規則第23條；道路交通安全規則第24條,車輛異動登記項目；車籍、所有人或地址等變更登記
traffic_law_choice-207,traffic_law_choice,16,汽車駕駛人駕駛汽車肇事無人受傷或死亡，且汽車尚能行駛而不儘速將汽車位置標繪移置路邊，致妨礙交通者處罰,道路交通事故處理辦法第3條；道路交通管理處罰條例第62條,事故現場警示、救護、標繪與移置規則；無人傷亡事故未依規定處置或未標繪移置之處罰
traffic_law_choice-208,traffic_law_choice,16,汽車肇事逃逸案件，經通知汽車所有人到場說明，無故不到場說明，或不提供汽車駕駛人相關資料者,道路交通安全規則第23條；道路交通安全規則第24條,車輛異動登記項目；車籍、所有人或地址等變更登記
traffic_law_choice-209,traffic_law_choice,16,汽車駕駛人無照駕駛或酒醉駕車因而致人受傷或死亡，依法應負刑事責任者，加重其刑至,道路交通管理處罰條例第21條,無照、越級、吊扣期間或容許無照駕駛之處罰
traffic_law_choice-212,traffic_law_choice,16,汽車駕駛人，駕車闖紅燈除罰鍰外並記違規點數,道路交通管理處罰條例第53條,闖紅燈與紅燈右轉之處罰
traffic_law_choice-213,traffic_law_choice,16,下列何種違規行為得對汽車所有人逕行舉發處罰,道路交通安全規則第23條；道路交通安全規則第24條；道路交通管理處罰條例第16條,車輛異動登記項目；車籍、所有人或地址等變更登記；未依規定辦理變更登記之處罰
traffic_law_choice-214,traffic_law_choice,16,拼裝車輛未經核准 領用牌證行駛或報廢車仍行駛道路者，其車輛,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-215,traffic_law_choice,16,汽車駕駛人無照駕駛大貨車、大客車、聯結車之行為，經舉發後除罰鍰外，並,道路交通管理處罰條例第21條,無照、越級、吊扣期間或容許無照駕駛之處罰
traffic_law_choice-216,traffic_law_choice,16,汽機車駕駛人，駕駛汽機車經酒精濃度測試檢定超過標準值，除罰鍰、 當場移置保管該汽機車外，並吊扣其駕駛執照,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-217,traffic_law_choice,16,駕駛汽車行駛於高速公路或快速公路，汽車駕駛人、前座或小型車後座乘客未繫安全帶者，將處駕駛人罰鍰新臺幣,道路交通安全規則第89條；道路交通管理處罰條例第31條,安全帶與起駛前安全檢查；未繫安全帶、兒童乘坐安全及留置車內之處罰
traffic_law_choice-218,traffic_law_choice,16,裝置高音量喇叭或其他產生噪音器物者，處汽車所有人罰鍰並,道路交通安全規則第23條；道路交通安全規則第24條；道路交通管理處罰條例第16條,車輛異動登記項目；車籍、所有人或地址等變更登記；未依規定辦理變更登記之處罰
traffic_law_choice-219,traffic_law_choice,16,汽車駕駛人於道路上蛇行駕駛，應處以,道路交通管理處罰條例第43條,危險駕駛、競駛、超速40公里以上或噪音車之處罰
traffic_law_choice-223,traffic_law_choice,17,"汽車駕駛人無正當理由，不依規定接受道路交通安全講習者，處新臺幣1,800 元罰鍰，經再通知依限參加講習，逾期6 個月以上仍不參加者，應罰",道路交通管理處罰條例第24條,道路交通安全講習制度
traffic_law_choice-224,traffic_law_choice,17,酒後駕車酒精濃度超過規定標準被當場移置保管車輛，其罰鍰,道路交通管理處罰條例第35條,酒駕、拒測與毒駕之處罰
traffic_law_choice-225,traffic_law_choice,17,汽車所有人或駕駛人於辦理車輛過戶、停駛、復駛、繳交牌照、註銷牌照、換發牌照或駕駛執照前,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-226,traffic_law_choice,17,汽車駕駛人有下列何種情況，須參加道路交通安全講習,道路交通管理處罰條例第24條,道路交通安全講習制度
traffic_law_choice-227,traffic_law_choice,17,汽車進入隧道內可否任意停車、臨時停車、超車或倒車,道路交通安全規則第101條,超車規則與禁止超車路段
traffic_law_choice-232,traffic_law_choice,17,在高速或快速公路同一車道上行駛之小型車輛時速在70 公里時，前後兩車間最少距離應為,高速公路及快速公路交通管制規則第6條,高速或快速公路行車安全距離
traffic_law_choice-233,traffic_law_choice,17,行駛高速或快速公路之汽車除在指定之場所外,高速公路及快速公路交通管制規則第12條,高速或快速公路停車與路肩暫停規則
traffic_law_choice-234,traffic_law_choice,18,汽車裝載危險物品行駛高速或快速公路時，應行駛,高速公路及快速公路交通管制規則第8條；道路交通安全規則第84條,高速或快速公路車道使用規則；危險物品裝載及警示規定
traffic_law_choice-236,traffic_law_choice,18,在高速公路之交通事故由何機關處理,高速公路及快速公路交通管制規則第3條,高速公路及快速公路管理機關
traffic_law_choice-237,traffic_law_choice,18,在高速公路行車時突然發現車輛性能低落，車速無法達到60 公里時應,高速公路及快速公路交通管制規則第14條,上高速或快速公路前檢查車況及途中不得缺水缺電缺燃料
traffic_law_choice-239,traffic_law_choice,18,正常天候下，高速或快速公路之最高行車速度限制為,高速公路及快速公路交通管制規則第5條,高速或快速公路速限及低能見度行車
traffic_law_choice-240,traffic_law_choice,18,濃霧、濃煙、大雨、強風，致能見度甚低時在高速或快速公路行駛之車輛時速,高速公路及快速公路交通管制規則第5條,高速或快速公路速限及低能見度行車
traffic_law_choice-245,traffic_law_choice,18,汽車行進中，發現鄰側車道車輛已開啟方向燈，有變換車道意圖時應,道路交通安全規則第91條,起駛、轉彎、變換車道之燈光或手勢
traffic_law_choice-249,traffic_law_choice,19,在高速或快速公路行車錯過了出口匝道,高速公路及快速公路交通管制規則第9條,高速或快速公路禁止事項
traffic_law_choice-250,traffic_law_choice,19,梅花型的交通標誌是,道路交通標誌標線號誌設置規則第12條,國道路線編號標誌樣式
traffic_law_choice-251,traffic_law_choice,19,高速或快速公路之內側車道為超車道，但小型車輛於不堵塞行車之狀況下,高速公路及快速公路交通管制規則第8條,高速或快速公路車道使用規則
traffic_law_choice-253,traffic_law_choice,19,行駛高速或快速公路欲變換車道時，除顯示方向燈外，最重要的是,道路交通安全規則第91條,起駛、轉彎、變換車道之燈光或手勢
traffic_law_choice-256,traffic_law_choice,19,行駛高速或快速公路駛入主線,高速公路及快速公路交通管制規則第7條,由交流道或匝道進入主線之規則
traffic_law_choice-260,traffic_law_choice,19,夜間會車如來車以強烈的頭燈或遠光燈照射，駕駛人應,道路交通安全規則第109條,夜間及隧道燈光使用規則
traffic_law_choice-262,traffic_law_choice,19,汽車肇事後,道路交通事故處理辦法第3條,事故現場警示、救護、標繪與移置規則
traffic_law_choice-263,traffic_law_choice,19,對地區鑑定會之汽車肇事責任鑑定有異議時，應,道路交通事故處理辦法第3條,事故現場警示、救護、標繪與移置規則
traffic_law_choice-265,traffic_law_choice,20,超速是肇事的主因之一，預防之道,道路交通事故處理辦法第3條,事故現場警示、救護、標繪與移置規則
traffic_law_choice-266,traffic_law_choice,20,車輛於交岔路口左轉，以下何者為錯,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-275,traffic_law_choice,20,酒後開車，對駕駛人會產生「視覺之隧道效應」，駕駛者猶如在隧道中行車，前有亮光但四周漆黑，故酒後駕車,道路交通管理處罰條例第35條,酒駕、拒測與毒駕之處罰
traffic_law_choice-281,traffic_law_choice,21,汽車駕駛人駕駛汽車經測試檢定，其吐氣所含酒精濃度不得達每公升,道路交通管理處罰條例第35條,酒駕、拒測與毒駕之處罰
traffic_law_choice-282,traffic_law_choice,21,汽車肇事，傷者有休克現象時臉色呈,道路交通事故處理辦法第3條,事故現場警示、救護、標繪與移置規則
traffic_law_choice-288,traffic_law_choice,21,小客車附載幼童未依規定安置於安全椅者，應處駕駛人,道路交通管理處罰條例第31條,未繫安全帶、兒童乘坐安全及留置車內之處罰
traffic_law_choice-291,traffic_law_choice,22,汽車號牌遺失不報請補發，經舉發後仍不辦理而行駛者,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-292,traffic_law_choice,22,"汽車駕駛人對幾歲以下或需要特別看護之兒童，單獨留置於車內者，處駕駛人新臺幣3,000 元罰鍰，並施以4 小時道路交通安全講習",道路交通管理處罰條例第24條,道路交通安全講習制度
