id,標題,分層,證型_條目,題幹,題目顯示,答案,來源頁,確認狀態
WB011,風溫,邪入陽明,胃熱陰傷,身熱自汗，面赤、神迷，身重難以轉側，多睡眠，鼻鼾，語言難出，苔黃而燥，脈數。,風溫-身熱自汗，面赤、神迷，身重難以轉側，多睡眠，鼻鼾，語言難出，苔黃而燥，脈數。,竹葉石膏湯,PDF第7頁,
WB012,風溫,邪在營分,熱爍營陰,身熱夜甚，心煩躁擾，甚或時有譫語，斑疹隱隱，口反不甚渴，舌質紅絳無苔，脈細數。,風溫-身熱夜甚，心煩躁擾，甚或時有譫語，斑疹隱隱，口反不甚渴，舌質紅絳無苔，脈細數。,清營湯,PDF第7頁,
WB013,風溫,邪在營分,肺熱發疹,身熱，咳嗽，胸悶，外發紅疹。,風溫-身熱，咳嗽，胸悶，外發紅疹。,銀翹散－荊芥、豆豉＋生地、丹皮、大青葉、玄參,PDF第7頁,
WB014,風溫,熱入心包,熱陷心包,身灼熱，肢厥，神昏譫語，或昏憤不語，舌蹇，舌色鮮絳，脈細數。,風溫-身灼熱，肢厥，神昏譫語，或昏憤不語，舌蹇，舌色鮮絳，脈細數。,清宮湯（送服）；安宮牛黃丸；紫雪丹；至寶丹,PDF第7頁,
WB015,風溫,熱入心包,熱入心包＋陽明腑實,身熱，神昏，舌蹇，肢厥，便秘，腹部按之硬痛，舌絳，苔黃燥，脈數沉實。,風溫-身熱，神昏，舌蹇，肢厥，便秘，腹部按之硬痛，舌絳，苔黃燥，脈數沉實。,牛黃承氣湯,PDF第7頁,
WB016,風溫,邪在血分，熱盛動風,肝經熱盛動風,身熱壯盛，頭暈脹痛，手足躁擾，甚則瘈瘲，狂亂痙厥，舌紅苔燥無津，脈象弦數。,風溫-身熱壯盛，頭暈脹痛，手足躁擾，甚則瘈瘲，狂亂痙厥，舌紅苔燥無津，脈象弦數。,羚角鈎藤湯,PDF第7頁,
WB017,風溫,邪在血分，熱盛動風,陽明熱盛引動肝風,壯熱如焚，口渴欲引涼飲，手足瘈瘲，甚至角弓反張，苔黃而燥。,風溫-壯熱如焚，口渴欲引涼飲，手足瘈瘲，甚至角弓反張，苔黃而燥。,白虎湯＋羚角、鈎藤；調胃承氣湯＋羚角、鈎藤,PDF第7頁,
WB018,風溫,邪在血分，熱盛動風,心營熱盛引動肝風,灼熱肢厥，神識昏迷，手足瘈瘲，舌質紅絳。,風溫-灼熱肢厥，神識昏迷，手足瘈瘲，舌質紅絳。,清宮湯＋羚角、鈎藤、丹皮；紫雪丹,PDF第7頁,
WB019,風溫,熱爍真陰,陽亢陰虛,心中煩不得臥，身熱，苔黃，舌紅，脈細數等。,風溫-心中煩不得臥，身熱，苔黃，舌紅，脈細數等。,黃連阿膠湯,PDF第8頁,
WB020,風溫,熱爍真陰,肝腎陰傷（真陰欲竭）,身熱面赤，手足心熱大於手足背，口乾，舌燥，或神倦，耳聾，脈象虛大等。,風溫-身熱面赤，手足心熱大於手足背，口乾，舌燥，或神倦，耳聾，脈象虛大等。,加減復脈湯,PDF第8頁,
WB021,風溫,熱爍真陰,誤汗陰虧心氣損傷,誤汗後陰虧，心氣損傷。,風溫-誤汗後陰虧，心氣損傷。,救逆湯,PDF第8頁,
WB022,風溫,熱爍真陰,誤下陰虧大便微溏,誤下後陰虧，大便微溏。,風溫-誤下後陰虧，大便微溏。,一甲復脈湯,PDF第8頁,
WB023,風溫,熱爍真陰,虛風內動初起,手足蠕動，尚未至痙厥。,風溫-手足蠕動，尚未至痙厥。,二甲復脈湯,PDF第8頁,
WB024,風溫,熱爍真陰,虛風內動兼心中憺憺,兼心中憺憺而動，脈象細促。,風溫-兼心中憺憺而動，脈象細促。,三甲復脈湯,PDF第8頁,
WB025,風溫,熱爍真陰,虛風內動欲脫,已見瘈瘲、神倦、脈虛、舌絳少苔、時時欲脫。,風溫-已見瘈瘲、神倦、脈虛、舌絳少苔、時時欲脫。,大定風珠,PDF第8頁,
WB026,風溫,熱爍真陰,內閉外脫,痰熱內閉心包，陽氣暴然外脫；身熱，神志昏憒不語，倦臥，或汗多氣短、脈細無力，或面色蒼白、汗出淋漓、四肢厥冷、脈微細欲絕。,風溫-痰熱內閉心包，陽氣暴然外脫；身熱，神志昏憒不語，倦臥，或汗多氣短、脈細無力，或面色蒼白、汗出淋漓、四肢厥冷、脈微細欲絕。,安宮牛黃丸、紫雪丹、至寶丹＋生脈散、參附湯,PDF第8頁,
WB027,風溫,後期證治,邪留陰分,夜熱早涼，熱退無汗，能食形瘦等。,風溫-夜熱早涼，熱退無汗，能食形瘦等。,青蒿鱉甲湯,PDF第8頁,
WB028,風溫,後期證治,餘熱未淨肺胃陰傷,身熱不甚或不發熱，乾咳不已或痰少而黏，口舌乾燥而渴，舌紅少苔，脈細。,風溫-身熱不甚或不發熱，乾咳不已或痰少而黏，口舌乾燥而渴，舌紅少苔，脈細。,沙參麥冬湯,PDF第8頁,
WB029,春溫,邪在氣分,熱在少陽膽經（裏熱偏重）,發熱不惡寒，口苦而渴，心煩，小溲短赤，舌紅苔黃，脈弦數等。,春溫-發熱不惡寒，口苦而渴，心煩，小溲短赤，舌紅苔黃，脈弦數等。,黃芩湯,PDF第9頁,
WB030,春溫,邪在氣分,熱在少陽膽經兼表證,發熱不惡寒，口苦而渴，心煩，小溲短赤，舌紅苔黃，脈弦數等，兼有惡寒、頭痛等表證。,春溫-發熱不惡寒，口苦而渴，心煩，小溲短赤，舌紅苔黃，脈弦數等，兼有惡寒、頭痛等表證。,蔥豉桔梗湯＋黃芩,PDF第9頁,
WB031,春溫,熱熾陽明,熱熾津傷,壯熱、面赤、汗多、心煩、渴喜涼飲，舌質紅苔黃而燥，脈洪大或滑數。,春溫-壯熱、面赤、汗多、心煩、渴喜涼飲，舌質紅苔黃而燥，脈洪大或滑數。,白虎湯,PDF第9頁,
WB032,春溫,熱熾陽明,熱盛動風,高熱、煩渴、手足躁擾，甚則狂亂、神昏痙厥，或見頸項強直、角弓反張，舌紅苔黃、脈象弦數，或者舌紅絳、脈細弦數。,春溫-高熱、煩渴、手足躁擾，甚則狂亂、神昏痙厥，或見頸項強直、角弓反張，舌紅苔黃、脈象弦數，或者舌紅絳、脈細弦數。,羚羊鈎藤湯,PDF第9頁,
WB033,春溫,熱熾陽明,熱結腸腑（熱結液虧）,身熱，腹滿便秘，口乾唇裂，舌苔焦燥，脈象沉細，或伴口乾咽燥、倦怠少氣、撮空摸床、肢體震顫、目不了了，苔乾黃或焦黑，脈沉弱或沉細等。,春溫-身熱，腹滿便秘，口乾唇裂，舌苔焦燥，脈象沉細，或伴口乾咽燥、倦怠少氣、撮空摸床、肢體震顫、目不了了，苔乾黃或焦黑，脈沉弱或沉細等。,增液承氣湯,PDF第9頁,
WB034,春溫,熱熾陽明,熱結腸腑（熱結氣液俱虧）,熱結腸腑兼氣液俱虧，身熱腹滿便秘，口乾唇裂，舌苔焦燥，倦怠少氣等。,春溫-熱結腸腑兼氣液俱虧，身熱腹滿便秘，口乾唇裂，舌苔焦燥，倦怠少氣等。,新加黃龍湯,PDF第9頁,
WB035,春溫,熱熾陽明,熱結腸腑（小腸熱盛）,熱結腸腑兼小便涓滴不暢，溺時疼痛，尿色紅赤，時煩渴，舌紅脈數。,春溫-熱結腸腑兼小便涓滴不暢，溺時疼痛，尿色紅赤，時煩渴，舌紅脈數。,導赤承氣湯,PDF第9頁,
WB036,春溫,邪在營血,熱在營分,證候、病機與風溫證熱入營分相同。,春溫-證候、病機與風溫證熱入營分相同。,清營湯,PDF第9頁,
WB037,春溫,邪在營血,熱在營分兼表證,熱在營分兼發熱惡寒、頭痛、無汗或少汗、心煩、舌赤、咽喉乾燥等證。,春溫-熱在營分兼發熱惡寒、頭痛、無汗或少汗、心煩、舌赤、咽喉乾燥等證。,銀翹散＋生地、玄參、丹皮,PDF第9頁,
WB038,春溫,邪在營血,熱入血分（熱盛動血）,灼熱躁擾，甚或昏狂譫妄，斑疹紫黑或吐衄、便血，舌質深絳等。,春溫-灼熱躁擾，甚或昏狂譫妄，斑疹紫黑或吐衄、便血，舌質深絳等。,犀角地黃湯,PDF第9頁,
WB039,春溫,邪在營血,氣血（營）兩燔發斑,壯熱口渴、煩躁不寧、苔黃舌絳，或肌膚發斑。,春溫-壯熱口渴、煩躁不寧、苔黃舌絳，或肌膚發斑。,化斑湯,PDF第10頁,
WB040,春溫,邪在營血,氣血（營）兩燔吐衄,壯熱口渴、煩躁不寧、苔黃舌絳，甚或吐血、衄血等。,春溫-壯熱口渴、煩躁不寧、苔黃舌絳，甚或吐血、衄血等。,白虎湯＋犀角地黃湯,PDF第10頁,
WB041,春溫,邪在營血,熱與血結,少腹堅滿疼痛，小便自利，神志如狂或清或亂，脈沉實等。,春溫-少腹堅滿疼痛，小便自利，神志如狂或清或亂，脈沉實等。,桃仁承氣湯,PDF第10頁,
WB042,春溫,熱入心包,伏熱內閉,身灼熱，神昏譫語，或昏憤不語，或痰壅氣粗，舌蹇肢厥，脈弦數或滑數。,春溫-身灼熱，神昏譫語，或昏憤不語，或痰壅氣粗，舌蹇肢厥，脈弦數或滑數。,清宮湯送服安宮牛黃丸、紫雪丹、至寶丹,PDF第10頁,
WB043,春溫,熱入心包,內閉外脫,身熱驟降，神昏譫語或不語如屍厥，躁擾不安，氣短息促，手足厥冷，冷汗自出，大便閉，舌絳色暗，欲伸無力，苔乾燥起刺，脈細疾或沉弱。,春溫-身熱驟降，神昏譫語或不語如屍厥，躁擾不安，氣短息促，手足厥冷，冷汗自出，大便閉，舌絳色暗，欲伸無力，苔乾燥起刺，脈細疾或沉弱。,參附湯、生脈散送服安宮牛黃丸、至寶丹,PDF第10頁,
WB044,春溫,肝腎陰傷,陽亢陰虛,熱灼真陰，陽亢陰虛。,春溫-熱灼真陰，陽亢陰虛。,黃連阿膠湯,PDF第10頁,
WB045,春溫,肝腎陰傷,真陰欲竭,春溫後期邪熱深入下焦，劫爍肝腎之陰，真陰欲竭。,春溫-春溫後期邪熱深入下焦，劫爍肝腎之陰，真陰欲竭。,阿膠雞子黃湯,PDF第10頁,
WB046,春溫,肝腎陰傷,陰虛動風,春溫後期肝腎陰傷，陰虛動風。,春溫-春溫後期肝腎陰傷，陰虛動風。,大定風珠,PDF第10頁,
WB047,暑溫,暑入陽明胃,暑熱盛而津氣未傷,身熱熾盛，惡熱心煩，頭痛且暈，面赤氣粗，口燥渴飲，汗多，背微惡寒，脈洪大而芤。,暑溫-身熱熾盛，惡熱心煩，頭痛且暈，面赤氣粗，口燥渴飲，汗多，背微惡寒，脈洪大而芤。,白虎湯,PDF第11頁,
WB048,暑溫,暑入陽明胃,元氣與津液耗傷,身熱熾盛，惡熱心煩，頭痛且暈，面赤氣粗，口燥渴飲，汗多，背微惡寒，脈洪大而芤，兼元氣與津液耗傷。,暑溫-身熱熾盛，惡熱心煩，頭痛且暈，面赤氣粗，口燥渴飲，汗多，背微惡寒，脈洪大而芤，兼元氣與津液耗傷。,白虎加人參湯,PDF第11頁,
WB049,暑溫,暑傷津氣,暑傷津氣,身熱息高，心煩溺黃，口渴自汗，肢倦神疲，脈虛無力。,暑溫-身熱息高，心煩溺黃，口渴自汗，肢倦神疲，脈虛無力。,王氏清暑益氣湯,PDF第11頁,
WB050,暑溫,暑傷津氣,津氣欲脫,身熱已退，汗出不止，喘渴欲脫，脈散大。,暑溫-身熱已退，汗出不止，喘渴欲脫，脈散大。,生脈散,PDF第11頁,
WB051,暑溫,暑傷心腎,暑傷心腎,心熱煩躁，消渴不已，舌絳，苔黃燥。,暑溫-心熱煩躁，消渴不已，舌絳，苔黃燥。,連梅湯,PDF第11頁,
WB052,暑溫,暑入營血,暑入心營,脈虛舌赤，心煩口乾，夜寐不安，時有譫語。,暑溫-脈虛舌赤，心煩口乾，夜寐不安，時有譫語。,清營湯,PDF第11頁,
WB053,暑溫,暑入營血,暑入心營內閉心包,營分熱盛，內閉心包，神昏譫語。,暑溫-營分熱盛，內閉心包，神昏譫語。,清營湯送服安宮牛黃丸,PDF第12頁,
WB054,暑溫,暑入營血,暑入血分,灼熱煩躁，斑色紫黑，舌絳苔焦，甚則神昏妄笑。,暑溫-灼熱煩躁，斑色紫黑，舌絳苔焦，甚則神昏妄笑。,神犀丹＋安宮牛黃丸,PDF第12頁,
WB055,暑溫,暑溫兼證,暑濕困阻中焦,壯熱煩渴，汗多溺短，脘痞身重，脈洪大。,暑溫-壯熱煩渴，汗多溺短，脘痞身重，脈洪大。,白虎加蒼朮湯,PDF第12頁,
WB056,暑溫,暑溫兼證,暑濕瀰漫三焦,身熱面赤耳聾，胸悶脘痞，下利稀水，小便短赤，咳痰帶血，不甚渴飲，舌紅赤，苔黃滑。,暑溫-身熱面赤耳聾，胸悶脘痞，下利稀水，小便短赤，咳痰帶血，不甚渴飲，舌紅赤，苔黃滑。,三石湯,PDF第12頁,
WB057,暑溫,暑兼寒濕,外寒與暑邪均等,頭痛身熱，惡寒無汗，身形拘急，脘悶心煩，舌苔薄膩。,暑溫-頭痛身熱，惡寒無汗，身形拘急，脘悶心煩，舌苔薄膩。,新加香薷飲,PDF第12頁,
WB058,暑溫,暑兼寒濕,裏暑濕較甚,凜凜惡寒，身熱煩躁而口渴便溏。,暑溫-凜凜惡寒，身熱煩躁而口渴便溏。,黃連香薷飲,PDF第12頁,
WB059,暑溫,暑溫類證,冒暑暑熱傷肺,暑熱傷肺：身熱口渴，咳嗽無痰，胸悶脅痛，脈濡滑而數，兩寸有力，或頭暈，寒熱汗出，咳嗽，苔薄白微膩。,暑溫-暑熱傷肺：身熱口渴，咳嗽無痰，胸悶脅痛，脈濡滑而數，兩寸有力，或頭暈，寒熱汗出，咳嗽，苔薄白微膩。,雷氏清宣金臟法,PDF第12頁,
WB060,暑溫,暑溫類證,冒暑暑濕遏於肺衛,暑濕遏於肺衛，見暑瀉稠黏、小便赤、渴煩、面垢、高燒等。,暑溫-暑濕遏於肺衛，見暑瀉稠黏、小便赤、渴煩、面垢、高燒等。,雷氏清涼滌暑法,PDF第12頁,
WB061,暑溫,暑溫類證,暑厥,暑熱閉塞清竅：猝然暈倒，昏不知人，身熱肢厥，氣粗如喘，不聲不語，牙關微緊或口開，脈洪大或滑數。,暑溫-暑熱閉塞清竅：猝然暈倒，昏不知人，身熱肢厥，氣粗如喘，不聲不語，牙關微緊或口開，脈洪大或滑數。,安宮牛黃丸、紫雪丹,PDF第12頁,
WB062,暑溫,暑溫類證,暑風,暑熱亢盛，引動肝風：身熱，四肢抽搐，甚或角弓反張，牙關緊閉，神迷不清，脈形弦數。,暑溫-暑熱亢盛，引動肝風：身熱，四肢抽搐，甚或角弓反張，牙關緊閉，神迷不清，脈形弦數。,羚羊鈎藤湯；清營湯＋羚羊角、鈎藤,PDF第12頁,
WB063,暑溫,暑溫類證,暑瘵體實,暑熱傷肺，灼傷血絡：驟然吐血、衄血，頭目不清，煩熱口渴，咳嗽氣喘，脈象浮取則洪，中取則空，沈取復有。體實者。,暑溫-暑熱傷肺，灼傷血絡：驟然吐血、衄血，頭目不清，煩熱口渴，咳嗽氣喘，脈象浮取則洪，中取則空，沈取復有。體實者。,雷氏清宣金臟法＋苦芩、黑梔,PDF第12頁,
WB064,暑溫,暑溫類證,暑瘵體虛,暑熱傷肺，灼傷血絡，體虛者。,暑溫-暑熱傷肺，灼傷血絡，體虛者。,雷氏卻暑調元法,PDF第12頁,
WB065,暑溫,暑溫類證,暑瘵暑濕傷肺,暑熱傷肺，灼傷血絡，兼暑濕傷肺者。,暑溫-暑熱傷肺，灼傷血絡，兼暑濕傷肺者。,清絡飲＋杏仁、苡仁、滑石,PDF第12頁,
WB066,暑溫,暑溫類證,暑穢暑熱重,頭痛而脹，胸脘痞悶，煩燥嘔惡，膚熱有汗，甚則神昏耳聾，暑熱重見苔色黃膩、心煩口渴。,暑溫-頭痛而脹，胸脘痞悶，煩燥嘔惡，膚熱有汗，甚則神昏耳聾，暑熱重見苔色黃膩、心煩口渴。,雷氏芳香化濁法＋滑石、甘草,PDF第12頁,
WB067,暑溫,暑溫類證,暑穢暑濕重,頭痛而脹，胸脘痞悶，煩燥嘔惡，膚熱有汗，甚則神昏耳聾，暑濕重見舌苔白膩、口亦不渴。,暑溫-頭痛而脹，胸脘痞悶，煩燥嘔惡，膚熱有汗，甚則神昏耳聾，暑濕重見舌苔白膩、口亦不渴。,雷氏芳香化濁法＋神麴、蒼朮,PDF第12頁,
WB068,暑溫,暑溫類證,暑穢穢濁蒙閉清竅,穢濁蒙閉清竅。,暑溫-穢濁蒙閉清竅。,通關散,PDF第12頁,
WB069,暑溫,溫開之劑,化痰開竅辟穢毒,溫開之劑，化痰開竅辟穢毒。,暑溫-溫開之劑，化痰開竅辟穢毒。,玉樞丹,PDF第13頁,
WB070,濕溫,邪在氣分,濕遏衛氣（表濕較甚）,頭痛重脹，惡寒，身重疼痛，體倦無力，身熱不揚，午後熱象較顯，胸脘痞悶不饑，口不渴，面色淡黃，苔白膩，脈濡緩。,濕溫-頭痛重脹，惡寒，身重疼痛，體倦無力，身熱不揚，午後熱象較顯，胸脘痞悶不饑，口不渴，面色淡黃，苔白膩，脈濡緩。,藿朴夏苓湯,PDF第14頁,
WB071,濕溫,邪在氣分,濕遏衛氣（裏濕蘊熱）,頭痛重脹，惡寒，身重疼痛，體倦無力，身熱不揚，胸脘痞悶不饑，口不渴，苔白膩，脈濡緩，兼裏濕蘊熱。,濕溫-頭痛重脹，惡寒，身重疼痛，體倦無力，身熱不揚，胸脘痞悶不饑，口不渴，苔白膩，脈濡緩，兼裏濕蘊熱。,三仁湯,PDF第14頁,
WB072,濕溫,邪在氣分,三焦濕鬱，升降失司,三焦濕鬱，升降失司：脘腹連脹，大便不爽。,濕溫-三焦濕鬱，升降失司：脘腹連脹，大便不爽。,一加減正氣散,PDF第14頁,
WB073,濕溫,邪在氣分,濕鬱三焦,濕鬱三焦：脘悶，便溏，身痛，舌白，脈象模糊。,濕溫-濕鬱三焦：脘悶，便溏，身痛，舌白，脈象模糊。,二加減正氣散,PDF第14頁,
WB074,濕溫,邪在氣分,穢濕著裏，外則釀熱,穢濕著裏：舌黃，脘悶，氣機不宣，外則釀熱。,濕溫-穢濕著裏：舌黃，脘悶，氣機不宣，外則釀熱。,三加減正氣散,PDF第14頁,
WB075,濕溫,邪在氣分,穢濕著裏，邪阻氣分,穢濕著裏，邪阻氣分：舌白滑，脈右緩。,濕溫-穢濕著裏，邪阻氣分：舌白滑，脈右緩。,四加減正氣散,PDF第14頁,
WB076,濕溫,邪在氣分,穢濕著裏，脘悶便瀉,穢濕著裏：脘悶，便瀉。,濕溫-穢濕著裏：脘悶，便瀉。,五加減正氣散,PDF第14頁,
WB077,濕溫,邪在氣分,穢濁阻於膜原,濕邪偏重加穢濁：寒熱往來如瘧狀，寒甚熱微，身痛有汗，手足沉重，嘔逆脹滿，舌苔白厚膩濁或如積粉，脈緩。,濕溫-濕邪偏重加穢濁：寒熱往來如瘧狀，寒甚熱微，身痛有汗，手足沉重，嘔逆脹滿，舌苔白厚膩濁或如積粉，脈緩。,雷氏宣透膜原法,PDF第14頁,
WB078,濕溫,邪在氣分,邪留少陽三焦,寒熱起伏，胸悶，脘痞腹脹，溲短，苔膩等。,濕溫-寒熱起伏，胸悶，脘痞腹脹，溲短，苔膩等。,黃連溫膽湯,PDF第14頁,
WB079,濕溫,邪在氣分,濕困中焦,身熱不揚，脘痞腹脹，噁心欲吐，口不渴或渴而不欲飲或渴喜熱飲，大便溏泄，小便混濁，苔白膩，脈濡緩。,濕溫-身熱不揚，脘痞腹脹，噁心欲吐，口不渴或渴而不欲飲或渴喜熱飲，大便溏泄，小便混濁，苔白膩，脈濡緩。,雷氏芳香化濁法,PDF第14頁,
WB080,濕溫,邪在氣分,濕熱中阻,發熱汗出不解，口渴不欲多飲，脘痞嘔噁，心中煩悶，便清色黃，溲短赤，苔黃膩，脈濡數。,濕溫-發熱汗出不解，口渴不欲多飲，脘痞嘔噁，心中煩悶，便清色黃，溲短赤，苔黃膩，脈濡數。,王氏連朴飲,PDF第15頁,
WB081,濕溫,邪在氣分,濕熱互結，中焦痞塞,嘔甚而痞，濕熱互結，中焦痞塞不通。,濕溫-嘔甚而痞，濕熱互結，中焦痞塞不通。,半夏瀉心湯－人參、乾薑、甘草、大棗＋枳實、生薑,PDF第15頁,
WB082,濕溫,邪在氣分,濕熱瀰漫三焦,苔灰白，胸痞悶，身熱嘔惡，煩渴自利，汗出溺短。,濕溫-苔灰白，胸痞悶，身熱嘔惡，煩渴自利，汗出溺短。,杏仁滑石湯,PDF第15頁,
WB083,濕溫,邪在氣分,濕熱膠結難解,脈緩，舌苔淡黃而滑，身痛，渴不多飲，或竟不渴，汗出熱解，繼而復熱。,濕溫-脈緩，舌苔淡黃而滑，身痛，渴不多飲，或竟不渴，汗出熱解，繼而復熱。,黃芩滑石湯,PDF第15頁,
WB084,濕溫,邪在氣分,濕熱蘊毒,發熱口渴，胸悶腹脹，肢酸倦怠，咽喉腫痛，小便黃赤，或身目發黃，苔黃而膩，脈滑數。,濕溫-發熱口渴，胸悶腹脹，肢酸倦怠，咽喉腫痛，小便黃赤，或身目發黃，苔黃而膩，脈滑數。,甘露消毒丹,PDF第15頁,
WB085,濕溫,邪在氣分,濕熱鬱發白㾦,發熱身痛，有汗不解，胸脘痞悶欲嘔。苔黃滑膩，胸腹等處發出白㾦。,濕溫-發熱身痛，有汗不解，胸脘痞悶欲嘔。苔黃滑膩，胸腹等處發出白㾦。,薏苡竹葉散；三仁湯,PDF第15頁,
WB086,濕溫,邪在氣分,白㾦氣液枯竭,發出枯㾦，㾦色枯白而空殼無漿。,濕溫-發出枯㾦，㾦色枯白而空殼無漿。,生脈散,PDF第15頁,
WB087,濕溫,邪在氣分,濕熱釀痰蒙蔽心竅,身熱不退，朝輕暮重，神識昏蒙，似清似昧，或時清時昧，時或譫語，舌苔黃膩，脈濡滑而數。,濕溫-身熱不退，朝輕暮重，神識昏蒙，似清似昧，或時清時昧，時或譫語，舌苔黃膩，脈濡滑而數。,菖蒲鬱金湯,PDF第15頁,
WB088,濕溫,邪在氣分,濕阻下焦泌別失職,濕大於熱：熱蒸頭脹，小便不通，渴不多飲，苔白膩。,濕溫-濕大於熱：熱蒸頭脹，小便不通，渴不多飲，苔白膩。,茯苓皮湯,PDF第15頁,
WB089,濕溫,邪在氣分,濕阻腸道傳導失司,神識如蒙，少腹硬滿，大便不通，苔垢膩。,濕溫-神識如蒙，少腹硬滿，大便不通，苔垢膩。,宣清導濁湯,PDF第15頁,
WB090,濕溫,邪在氣分,濕熱挾滯內阻胃腸,身熱不退，胸脘痞悶，腹微痛，大便溏而不爽，舌苔黃濁。,濕溫-身熱不退，胸脘痞悶，腹微痛，大便溏而不爽，舌苔黃濁。,枳實導滯丸,PDF第15頁,
WB091,濕溫,邪在氣分,熱熾陽明，濕困太陰,熱大於濕：高熱汗出，面赤氣粗，口渴欲飲，身重脘痞，苔黃微膩，脈象滑數。,濕溫-熱大於濕：高熱汗出，面赤氣粗，口渴欲飲，身重脘痞，苔黃微膩，脈象滑數。,白虎加蒼朮湯,PDF第15頁,
WB092,濕溫,邪在氣分,陽明熱結兼濕,身熱面赤，口燥咽乾，渴欲飲水，脘痞便秘，苔黃燥，脈沈實。,濕溫-身熱面赤，口燥咽乾，渴欲飲水，脘痞便秘，苔黃燥，脈沈實。,小承氣湯等分方,PDF第15頁,
WB093,濕溫,邪在營血,濕熱化燥入於心包,痰濕化燥，內陷厥陰，閉阻心包：身熱不退，神昏少有清醒之時，譫語，甚則昏憤不語，舌蹇肢厥，舌質紅絳，苔薄黃少津。,濕溫-痰濕化燥，內陷厥陰，閉阻心包：身熱不退，神昏少有清醒之時，譫語，甚則昏憤不語，舌蹇肢厥，舌質紅絳，苔薄黃少津。,加減清宮湯送服紫雪丹、至寶丹,PDF第15頁,
WB094,濕溫,邪在營血,濕熱化燥入於心包兼陽氣外脫,心竅閉阻不開，又突然陽氣外脫：身熱驟退、汗出不止、脈微細。,濕溫-心竅閉阻不開，又突然陽氣外脫：身熱驟退、汗出不止、脈微細。,生脈散、參附湯配安宮牛黃丸,PDF第15頁,
WB095,濕溫,邪在營血,濕熱化燥痙厥,壯熱，口渴，痙搐，昏譫或笑，苔黃，舌紅而燥。,濕溫-壯熱，口渴，痙搐，昏譫或笑，苔黃，舌紅而燥。,薛氏救陰泄邪方,PDF第15頁,
